Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,27.270000,27.360001,26.580000,26.700001,26.700001,50388600
2023-10-03,26.490000,26.520000,25.820000,25.910000,25.910000,62144500
2023-10-04,25.879999,26.010000,25.580000,25.940001,25.940001,55696400
2023-10-05,25.780001,26.090000,25.559999,26.059999,26.059999,49044100
2023-10-06,25.770000,26.230000,25.469999,26.070000,26.070000,58120700
2023-10-09,25.760000,26.360001,25.719999,26.309999,26.309999,39953700
2023-10-10,26.610001,27.299999,26.570000,27.010000,27.010000,51960100
2023-10-11,27.170000,27.440001,26.900000,27.020000,27.020000,38508200
2023-10-12,26.969999,27.080000,26.610001,26.900000,26.900000,44249800
2023-10-13,27.430000,27.719999,26.520000,26.760000,26.760000,55089700
2023-10-16,27.160000,27.180000,26.770000,26.990000,26.990000,56817500
2023-10-17,27.049999,27.870001,26.719999,27.620001,27.620001,95344200
2023-10-18,27.540001,28.040001,27.209999,27.309999,27.309999,68371100
2023-10-19,27.250000,27.780001,26.879999,26.959999,26.959999,58611000
2023-10-20,26.799999,26.940001,26.240000,26.309999,26.309999,62029800
2023-10-23,26.129999,26.209999,25.520000,25.570000,25.570000,59857200
2023-10-24,25.740000,25.870001,25.400000,25.469999,25.469999,55975700
2023-10-25,25.379999,25.650000,25.180000,25.549999,25.549999,45522400
2023-10-26,25.490000,26.360001,25.440001,26.120001,26.120001,60921000
2023-10-27,26.070000,26.070000,24.959999,25.170000,25.170000,64709300
2023-10-30,25.320000,25.780001,25.280001,25.690001,25.690001,41891900
2023-10-31,25.740000,26.379999,25.719999,26.340000,26.340000,50106700
2023-11-01,26.440001,26.620001,26.150000,26.400000,26.400000,44046300
2023-11-02,26.709999,27.660000,26.590000,27.620001,27.620001,63278300
2023-11-03,28.160000,28.930000,28.129999,28.420000,28.420000,62595200
2023-11-06,28.559999,28.770000,28.020000,28.330000,28.330000,45548000
2023-11-07,28.049999,28.260000,27.950001,28.160000,28.160000,33081900
2023-11-08,28.160000,28.200001,27.670000,27.889999,27.889999,31896000
2023-11-09,28.070000,28.080000,27.400000,27.530001,27.530001,32254300
2023-11-10,27.760000,27.770000,27.340000,27.350000,27.350000,9420326
