,Stock,Date,neg,neu,pos,compound,Open,High,Low,Close,Adj Close,Volume
0,AAPL,2023-10-01,0.0605,0.8815,0.0575,-0.4582,,,,,,
1,AAPL,2023-10-02,0.041,0.893,0.066,0.2672,171.220001,174.300003,170.929993,173.75,173.521393,52164500.0
2,AAPL,2023-10-03,0.0215,0.908,0.0705,0.9749,172.259995,173.630005,170.820007,172.399994,172.173172,49594600.0
3,AAPL,2023-10-04,0.017,0.883,0.1,0.9827,171.089996,174.210007,170.970001,173.660004,173.431519,53020300.0
4,AAPL,2023-10-05,0.018,0.8855,0.0965,0.9552,173.789993,175.449997,172.679993,174.910004,174.679871,48527900.0
5,AAPL,2023-10-06,0.0365,0.819,0.144,0.9986,173.800003,177.990005,173.179993,177.490005,177.256485,57224100.0
6,AAPL,2023-10-07,0.016,0.848,0.136,0.9996,,,,,,
7,AAPL,2023-10-08,0.014,0.8985,0.087,0.9927,,,,,,
8,AAPL,2023-10-09,0.014,0.8705,0.1145,0.9926,176.809998,179.050003,175.800003,178.990005,178.754501,42390800.0
9,AAPL,2023-10-10,0.0475,0.843,0.109,0.409,178.100006,179.720001,177.949997,178.389999,178.155289,43698000.0
10,AAPL,2023-10-11,0.0775,0.862,0.0605,-0.4294,178.199997,179.850006,177.600006,179.800003,179.563431,47551100.0
11,AAPL,2023-10-12,0.048,0.8905,0.0615,0.5066,180.070007,182.339996,179.039993,180.710007,180.472244,56743100.0
12,AAPL,2023-10-13,0.048,0.8905,0.0615,0.5066,181.419998,181.929993,178.139999,178.850006,178.614685,51427100.0
13,AAPL,2023-10-14,0.0385,0.865,0.0965,0.9893,,,,,,
14,AAPL,2023-10-15,0.048,0.856,0.0955,0.9822,,,,,,
15,AAPL,2023-10-16,0.0925,0.8075,0.1,0.005,176.75,179.080002,176.509995,178.720001,178.484863,52517000.0
16,AAPL,2023-10-17,0.004,0.8905,0.1055,0.9975,176.649994,178.419998,174.800003,177.149994,176.916916,57549400.0
17,AAPL,2023-10-18,0.0385,0.857,0.105,0.2971,175.580002,177.580002,175.110001,175.839996,175.608643,54764400.0
18,AAPL,2023-10-19,0.025,0.848,0.127,0.9651,176.039993,177.839996,175.190002,175.460007,175.229156,59302900.0
19,AAPL,2023-10-20,0.025,0.848,0.127,0.9651,175.309998,175.419998,172.639999,172.880005,172.652542,64189300.0
20,AAPL,2023-10-21,0.0115,0.893,0.096,0.9934,,,,,,
21,AAPL,2023-10-22,0.013,0.8565,0.131,0.9965,,,,,,
22,AAPL,2023-10-23,0.02,0.857,0.1235,0.9929,170.910004,174.009995,169.929993,173.0,172.772385,55980100.0
23,AAPL,2023-10-24,0.0165,0.9205,0.063,0.9069,173.050003,173.669998,171.449997,173.440002,173.211807,43816600.0
24,AAPL,2023-10-25,0.0165,0.9205,0.063,0.9069,171.880005,173.059998,170.649994,171.100006,170.874893,57157000.0
25,AAPL,2023-10-26,0.0445,0.8575,0.098,0.9924,170.369995,171.380005,165.669998,166.889999,166.670425,70625300.0
26,AAPL,2023-10-27,0.0445,0.8575,0.098,0.9924,166.910004,168.960007,166.830002,168.220001,167.998672,58499100.0
27,AAPL,2023-10-28,0.063,0.852,0.085,0.7656,,,,,,
28,AAPL,2023-10-29,0.022,0.893,0.085,0.9895,,,,,,
29,AAPL,2023-10-30,0.015,0.8685,0.117,0.9913,169.020004,171.169998,168.869995,170.289993,170.065933,51131000.0
30,INTC,2023-10-01,0.0155,0.8655,0.1195,0.9962,,,,,,
31,INTC,2023-10-02,0.0155,0.8655,0.1195,0.9962,35.610001,35.98,34.98,35.459999,35.343781,26086200.0
32,INTC,2023-10-03,0.015,0.864,0.1215,0.9826,35.27,36.540001,35.27,35.689999,35.573029,45292600.0
33,INTC,2023-10-04,0.0175,0.839,0.144,0.9988,36.52,36.52,35.330002,35.93,35.812244,39842200.0
34,INTC,2023-10-05,0.0095,0.866,0.1245,0.9883,35.970001,36.099998,35.599998,35.889999,35.772373,25771200.0
35,INTC,2023-10-06,0.0155,0.887,0.097,0.9582,35.869999,36.459999,35.18,36.189999,36.071388,33252300.0
36,INTC,2023-10-07,0.024,0.8405,0.1355,0.9958,,,,,,
37,INTC,2023-10-08,0.026,0.8935,0.0805,0.8649,,,,,,
38,INTC,2023-10-09,0.0055,0.869,0.1255,0.9888,35.700001,36.169998,35.5,36.060001,35.941818,19376100.0
39,INTC,2023-10-10,0.0085,0.853,0.1385,0.9951,36.139999,36.740002,35.810001,36.43,36.310604,24044100.0
40,INTC,2023-10-11,0.0175,0.87,0.1125,0.995,36.619999,37.029999,36.380001,36.880001,36.759129,19262600.0
41,INTC,2023-10-12,0.0315,0.8585,0.1105,0.9986,36.799999,37.220001,36.389999,36.84,36.719261,23639200.0
42,INTC,2023-10-13,0.035,0.847,0.1185,0.9587,36.740002,36.790001,35.860001,35.970001,35.852112,28390100.0
43,INTC,2023-10-14,0.0685,0.843,0.0885,0.931,,,,,,
44,INTC,2023-10-15,0.029,0.8795,0.091,0.9914,,,,,,
45,INTC,2023-10-16,0.015,0.8395,0.1455,0.9948,36.139999,36.939999,36.080002,36.560001,36.440178,29555800.0
46,INTC,2023-10-17,0.026,0.8915,0.0825,0.9826,35.919998,36.349998,35.07,36.060001,35.941818,24993600.0
47,INTC,2023-10-18,0.0275,0.871,0.1015,0.8705,35.52,36.02,35.450001,35.639999,35.523193,22086000.0
48,INTC,2023-10-19,0.0275,0.871,0.1015,0.8705,35.959999,36.360001,35.52,35.669998,35.553093,29201800.0
49,INTC,2023-10-20,0.0315,0.9195,0.049,0.4879,35.650002,36.279999,34.869999,34.919998,34.80555,32291800.0
50,INTC,2023-10-21,0.064,0.806,0.13,0.9982,,,,,,
51,INTC,2023-10-22,0.041,0.8535,0.105,0.9736,,,,,,
52,INTC,2023-10-23,0.0305,0.8705,0.099,0.9734,34.599998,35.189999,33.389999,33.849998,33.739059,53924700.0
53,INTC,2023-10-24,0.0125,0.8835,0.104,0.9891,33.639999,34.709999,33.639999,34.59,34.476635,52673900.0
54,INTC,2023-10-25,0.004,0.9045,0.0915,0.9345,34.18,34.450001,32.549999,32.830002,32.722404,44658500.0
55,INTC,2023-10-26,0.03,0.8585,0.1115,0.9962,32.889999,33.220001,32.150002,32.52,32.413418,59142500.0
56,INTC,2023-10-27,0.0425,0.819,0.1385,0.9947,34.66,36.380001,34.599998,35.540001,35.423523,84128200.0
57,INTC,2023-10-28,0.067,0.8395,0.093,0.8816,,,,,,
58,INTC,2023-10-29,0.0255,0.835,0.139,0.9932,,,,,,
59,INTC,2023-10-30,0.017,0.8675,0.1155,0.9908,35.470001,35.959999,34.919998,35.689999,35.573029,36656300.0
60,JPM,2023-10-01,0.048,0.8675,0.085,0.2792,,,,,,
61,JPM,2023-10-02,0.0905,0.8305,0.0785,-0.03,144.830002,145.619995,142.630005,143.770004,142.716919,9170600.0
