,stock,date,neg,neu,pos,compound,open,high,low,close,adj close,volume
0,ADBE,2023-10-01,0.026,0.8295,0.1445,0.9906,,,,,,
1,ADBE,2023-10-02,0.0315,0.829,0.1395,0.9914,508.23999,522.409973,508.23999,521.130005,521.130005,2411500.0
2,ADBE,2023-10-03,0.0135,0.865,0.1215,0.9991,517.52002,520.48999,504.549988,507.029999,507.029999,2004100.0
3,ADBE,2023-10-04,0.0115,0.8865,0.102,0.9978,511.929993,519.76001,510.0,518.419983,518.419983,2027200.0
4,ADBE,2023-10-05,0.02,0.8705,0.1095,0.9974,519.840027,522.609985,509.23999,516.440002,516.440002,1818800.0
5,ADBE,2023-10-06,0.0235,0.836,0.1405,0.9988,513.219971,531.309998,509.519989,526.679993,526.679993,2523300.0
6,ADBE,2023-10-07,0.0125,0.8535,0.135,0.9994,,,,,,
7,ADBE,2023-10-08,0.0015,0.864,0.135,0.9989,,,,,,
8,ADBE,2023-10-09,0.041,0.77,0.1885,0.9719,522.0,530.0,518.75,529.289978,529.289978,1713500.0
9,ADBE,2023-10-10,0.041,0.77,0.1885,0.9719,530.909973,537.0,530.400024,532.719971,532.719971,2090900.0
10,ADBE,2023-10-11,0.033,0.8075,0.16,0.9954,538.590027,551.340027,536.109985,549.909973,549.909973,3307500.0
11,ADBE,2023-10-12,0.058,0.7935,0.1485,0.997,553.700012,574.400024,552.22998,559.630005,559.630005,4624000.0
12,ADBE,2023-10-13,0.036,0.815,0.149,0.9994,560.0,562.890015,546.98999,548.76001,548.76001,2832600.0
13,ADBE,2023-10-14,0.0085,0.8725,0.119,0.9996,,,,,,
14,ADBE,2023-10-15,0.024,0.8415,0.1345,0.9991,,,,,,
15,ADBE,2023-10-16,0.029,0.8225,0.1485,0.999,553.179993,555.570007,545.690002,550.73999,550.73999,2179700.0
16,ADBE,2023-10-17,0.021,0.836,0.143,0.9997,545.409973,560.799988,543.340027,560.090027,560.090027,2355300.0
17,ADBE,2023-10-18,0.012,0.8155,0.172,0.9979,554.47998,568.179993,554.23999,557.869995,557.869995,2614500.0
18,ADBE,2023-10-19,0.016,0.795,0.189,0.9985,560.0,567.099976,553.469971,555.73999,555.73999,2809300.0
19,ADBE,2023-10-20,0.0235,0.829,0.148,0.9966,555.73999,555.97998,535.950012,540.960022,540.960022,2728100.0
20,ADBE,2023-10-21,0.0405,0.8365,0.1235,0.7831,,,,,,
21,ADBE,2023-10-22,0.012,0.8705,0.1175,0.9984,,,,,,
22,ADBE,2023-10-23,0.012,0.863,0.125,0.9946,535.809998,548.030029,531.0,540.409973,540.409973,2172600.0
23,ADBE,2023-10-24,0.016,0.8615,0.122,0.994,544.640015,546.0,532.119995,539.559998,539.559998,2358100.0
24,ADBE,2023-10-25,0.013,0.7845,0.2025,0.9965,533.559998,534.460022,517.630005,521.140015,521.140015,2526000.0
25,ADBE,2023-10-26,0.013,0.7845,0.2025,0.9965,530.0,530.98999,511.679993,514.280029,514.280029,2876700.0
26,ADBE,2023-10-27,0.011,0.893,0.096,0.9765,517.5,519.859985,506.920013,508.119995,508.119995,2985600.0
27,ADBE,2023-10-28,0.0235,0.8265,0.1505,0.9989,,,,,,
28,ADBE,2023-10-29,0.0065,0.8355,0.1585,0.9953,,,,,,
29,ADBE,2023-10-30,0.0,0.852,0.148,0.9851,516.109985,530.75,512.23999,526.940002,526.940002,2806900.0
30,ADBE,2023-10-31,0.014,0.8525,0.1335,0.9865,530.640015,532.640015,522.809998,532.059998,532.059998,2052300.0
31,UNH,2023-10-01,0.0295,0.8075,0.1635,0.9995,,,,,,
32,UNH,2023-10-02,0.01,0.834,0.156,0.998,505.529999,514.840027,503.140015,514.570007,514.570007,3550400.0
33,UNH,2023-10-03,0.01,0.834,0.156,0.998,513.299988,513.97998,508.359985,509.470001,509.470001,3143200.0
34,UNH,2023-10-04,0.015,0.857,0.128,0.9961,509.48999,511.820007,506.609985,510.619995,510.619995,2801700.0
35,UNH,2023-10-05,0.005,0.843,0.153,0.9993,511.619995,518.210022,511.230011,516.22998,516.22998,2790700.0
36,UNH,2023-10-06,0.005,0.843,0.153,0.9993,516.450012,525.950012,515.97998,524.809998,524.809998,3645500.0
37,UNH,2023-10-07,0.0575,0.8455,0.0975,0.9594,,,,,,
38,UNH,2023-10-08,0.0215,0.874,0.1045,0.9948,,,,,,
39,UNH,2023-10-09,0.0215,0.874,0.1045,0.9948,521.150024,526.869995,520.25,526.51001,526.51001,2341600.0
40,UNH,2023-10-10,0.025,0.8075,0.168,0.9968,526.5,528.140015,523.080017,524.23999,524.23999,2455700.0
41,UNH,2023-10-11,0.025,0.8075,0.168,0.9968,520.919983,525.590027,520.22998,524.130005,524.130005,2819300.0
42,UNH,2023-10-12,0.0355,0.813,0.152,0.9906,524.469971,528.580017,522.25,525.539978,525.539978,2377300.0
43,UNH,2023-10-13,0.0355,0.813,0.152,0.9906,533.25,544.460022,532.0,539.400024,539.400024,5245400.0
44,UNH,2023-10-14,0.041,0.816,0.142,0.9993,,,,,,
45,UNH,2023-10-15,0.008,0.861,0.131,0.9943,,,,,,
46,UNH,2023-10-16,0.008,0.861,0.131,0.9943,543.179993,546.780029,536.119995,538.030029,538.030029,3827600.0
47,UNH,2023-10-17,0.0235,0.8665,0.1105,0.9802,539.940002,542.429993,534.570007,536.650024,536.650024,2586000.0
48,UNH,2023-10-18,0.0415,0.8235,0.135,0.8948,543.039978,543.97998,535.400024,536.059998,536.059998,2551400.0
49,UNH,2023-10-19,0.026,0.786,0.188,0.9983,536.820007,538.340027,529.25,531.630005,531.630005,2351200.0
50,UNH,2023-10-20,0.034,0.792,0.174,0.9984,531.0,534.429993,526.77002,527.030029,527.030029,2810800.0
51,UNH,2023-10-21,0.0325,0.8955,0.0715,0.9628,,,,,,
52,UNH,2023-10-22,0.0235,0.827,0.149,0.9954,,,,,,
53,UNH,2023-10-23,0.0235,0.827,0.149,0.9954,527.030029,527.780029,520.289978,521.570007,521.570007,2357700.0
54,UNH,2023-10-24,0.0045,0.8395,0.156,0.994,522.859985,530.669983,522.070007,525.0,525.0,1978200.0
55,UNH,2023-10-25,0.0045,0.8395,0.156,0.994,527.27002,532.359985,520.080017,530.210022,530.210022,2380100.0
56,UNH,2023-10-26,0.0125,0.878,0.109,0.9964,525.700012,530.469971,522.52002,528.359985,528.359985,2675800.0
57,UNH,2023-10-27,0.025,0.772,0.203,1.0,525.98999,527.73999,521.26001,524.659973,524.659973,2585600.0
58,UNH,2023-10-28,0.014,0.891,0.094,0.9996,,,,,,
59,UNH,2023-10-29,0.014,0.891,0.094,0.9996,,,,,,
60,UNH,2023-10-30,0.019,0.8375,0.1435,0.9983,525.0,531.820007,522.940002,529.98999,529.98999,2555400.0
61,UNH,2023-10-31,0.011,0.816,0.173,0.9991,535.0,536.679993,531.619995,535.559998,535.559998,2464200.0
62,V,2023-10-01,0.022,0.826,0.1515,0.9908,,,,,,
63,V,2023-10-02,0.081,0.755,0.164,0.9873,229.240005,231.369995,228.770004,231.270004,230.778687,5175200.0
64,V,2023-10-03,0.057,0.784,0.159,0.9975,230.470001,231.75,227.779999,228.809998,228.323914,5585700.0
65,V,2023-10-04,0.026,0.841,0.134,0.9996,229.479996,231.699997,228.880005,231.220001,230.72879,5430900.0
66,V,2023-10-05,0.048,0.848,0.104,0.9952,230.410004,234.190002,230.220001,233.479996,232.983978,6126200.0
67,V,2023-10-06,0.048,0.848,0.104,0.9952,233.169998,236.589996,232.75,235.039993,234.540665,6401000.0
68,V,2023-10-07,0.048,0.839,0.113,0.8205,,,,,,
69,V,2023-10-08,0.0105,0.837,0.1525,0.9952,,,,,,
70,V,2023-10-09,0.0045,0.9195,0.076,0.958,232.800003,235.169998,231.699997,234.440002,233.941956,5372200.0
71,V,2023-10-10,0.006,0.9065,0.0875,0.9607,234.899994,238.220001,234.279999,236.600006,236.097366,4644000.0
72,V,2023-10-11,0.0445,0.8785,0.077,0.0131,237.550003,238.509995,234.889999,235.679993,235.179306,4760900.0
73,V,2023-10-12,0.0475,0.8815,0.071,0.0121,236.710007,237.729996,234.889999,236.779999,236.276978,4472800.0
74,V,2023-10-13,0.021,0.857,0.121,0.9999,236.389999,238.649994,236.229996,237.669998,237.165085,4966800.0
75,V,2023-10-14,0.021,0.857,0.121,0.9999,,,,,,
76,V,2023-10-15,0.018,0.879,0.103,0.9909,,,,,,
77,V,2023-10-16,0.018,0.879,0.103,0.9909,239.0,240.710007,238.330002,240.070007,239.559998,6227300.0
78,V,2023-10-17,0.0385,0.8515,0.1095,0.9459,239.630005,241.479996,238.289993,241.199997,240.687592,4527600.0
79,V,2023-10-18,0.0385,0.8515,0.1095,0.9459,239.960007,240.830002,236.990005,237.470001,236.965515,9528300.0
80,V,2023-10-19,0.0615,0.793,0.1455,0.9981,237.470001,237.919998,233.410004,233.809998,233.313278,5927400.0
81,V,2023-10-20,0.043,0.823,0.134,0.9979,234.130005,235.770004,232.639999,233.380005,232.884201,5748300.0
