Stock,Date,neg,neu,pos,compound,Open,High,Low,Close,Adj Close,Volume
MSFT,2023-10-01,0.049,0.8329,0.1178,0.4547,,,,,,
MSFT,2023-10-02,0.0372,0.8385,0.124,0.9715,316.279999,321.890015,315.179993,321.799988,321.148163,20570000.0
MSFT,2023-10-03,0.0319,0.883,0.0847,0.9553,320.829987,321.390015,311.209991,313.390015,312.755219,21033500.0
MSFT,2023-10-04,0.0262,0.8513,0.1227,0.9755,314.029999,320.040009,314.0,318.959991,318.313934,20720100.0
MSFT,2023-10-05,0.0195,0.8403,0.1406,0.9917,319.089996,319.980011,314.899994,319.359985,318.713104,16965600.0
MSFT,2023-10-06,0.0097,0.8671,0.1234,0.8618,316.549988,329.190002,316.299988,327.26001,326.597137,25645500.0
MSFT,2023-10-07,0.0295,0.8587,0.1116,0.78,,,,,,
MSFT,2023-10-08,0.0333,0.8983,0.0685,0.5313,,,,,,
MSFT,2023-10-09,0.02,0.8955,0.0846,0.9028,324.75,330.299988,323.179993,329.820007,329.151947,19891200.0
MSFT,2023-10-10,0.0283,0.9073,0.0644,0.4455,330.959991,331.100006,327.670013,328.390015,327.724854,20557100.0
MSFT,2023-10-11,0.0415,0.9027,0.0556,0.0516,331.209991,332.820007,329.140015,332.420013,331.746674,20063200.0
MSFT,2023-10-12,0.0418,0.8725,0.086,0.9827,330.570007,333.630005,328.720001,331.160004,330.489227,19313100.0
MSFT,2023-10-13,0.0465,0.8648,0.089,0.9828,332.380005,333.829987,326.359985,327.730011,327.066193,21072400.0
MSFT,2023-10-14,0.042,0.8467,0.1115,0.9923,,,,,,
MSFT,2023-10-15,0.0199,0.6613,0.0687,0.6947,,,,,,
MSFT,2023-10-16,0.0158,0.6649,0.0693,0.7408,331.049988,336.140015,330.600006,332.640015,331.966248,22158000.0
MSFT,2023-10-17,0.0165,0.6578,0.0757,0.7421,329.589996,333.459991,327.410004,332.059998,331.38739,18338500.0
MSFT,2023-10-18,0.0197,0.8628,0.1174,0.6399,332.48999,335.589996,328.299988,330.109985,329.441345,23153600.0
MSFT,2023-10-19,0.0318,0.8447,0.1235,0.9983,332.149994,336.880005,330.910004,331.320007,330.648895,25052100.0
MSFT,2023-10-20,0.0318,0.8447,0.1235,0.9983,331.720001,331.920013,325.450012,326.670013,326.008331,25012600.0
MSFT,2023-10-21,0.0633,0.8605,0.0761,0.4412,,,,,,
MSFT,2023-10-22,0.0219,0.8232,0.1549,0.9973,,,,,,
MSFT,2023-10-23,0.0107,0.8486,0.141,0.9937,325.470001,332.730011,324.390015,329.320007,328.652954,24374700.0
MSFT,2023-10-24,0.0088,0.8818,0.1095,0.9942,331.299988,331.839996,327.600006,330.529999,329.860504,31153600.0
MSFT,2023-10-25,0.0141,0.8618,0.1237,0.9974,345.019989,346.200012,337.619995,340.670013,339.97998,55053800.0
MSFT,2023-10-26,0.0124,0.8542,0.1333,0.9988,340.540009,341.630005,326.940002,327.890015,327.225861,37828500.0
MSFT,2023-10-27,0.0238,0.8519,0.1245,0.9957,330.429993,336.720001,328.399994,329.809998,329.141968,29856500.0
MSFT,2023-10-28,0.0287,0.8073,0.164,0.9989,,,,,,
MSFT,2023-10-29,0.0212,0.8419,0.1367,0.9914,,,,,,
MSFT,2023-10-30,0.008,0.8175,0.1745,0.9971,333.410004,339.450012,331.829987,337.309998,336.62677,22828100.0
MSFT,2023-10-31,0.0243,0.6295,0.0963,0.3085,338.850006,339.0,334.690002,338.109985,337.42514,20265300.0
GOOGL,2023-10-01,0.0563,0.8402,0.103,0.4812,,,,,,
GOOGL,2023-10-02,0.0265,0.8585,0.115,0.9748,131.210007,134.419998,131.169998,134.169998,134.169998,22288000.0
GOOGL,2023-10-03,0.0235,0.8798,0.0968,0.9669,133.940002,134.259995,131.839996,132.429993,132.429993,22989400.0
GOOGL,2023-10-04,0.0515,0.8654,0.083,0.7261,132.789993,135.570007,132.529999,135.240005,135.240005,26752300.0
GOOGL,2023-10-05,0.06,0.8518,0.0878,0.7311,135.070007,135.490005,133.449997,135.070007,135.070007,19832600.0
GOOGL,2023-10-06,0.0523,0.6277,0.07,0.2445,134.009995,138.160004,134.009995,137.580002,137.580002,27583200.0
GOOGL,2023-10-07,0.0115,0.6298,0.109,0.7497,,,,,,
GOOGL,2023-10-08,0.0148,0.8641,0.1212,0.9943,,,,,,
GOOGL,2023-10-09,0.0212,0.8617,0.1172,0.9954,136.940002,138.940002,135.610001,138.419998,138.419998,19278100.0
GOOGL,2023-10-10,0.0152,0.6502,0.0848,0.7382,138.5,139.720001,137.330002,138.059998,138.059998,27786600.0
GOOGL,2023-10-11,0.0282,0.8922,0.0795,0.2137,138.580002,141.110001,138.580002,140.550003,140.550003,25884300.0
GOOGL,2023-10-12,0.0491,0.8772,0.0738,0.185,141.050003,141.220001,138.259995,138.970001,138.970001,24765500.0
GOOGL,2023-10-13,0.0137,0.4168,0.0695,0.4997,139.380005,140.0,136.619995,137.360001,137.360001,23420500.0
GOOGL,2023-10-14,0.0241,0.8635,0.1122,0.9939,,,,,,
GOOGL,2023-10-15,0.0347,0.866,0.0995,0.9869,,,,,,
GOOGL,2023-10-16,0.0339,0.8631,0.1033,0.9868,138.169998,139.630005,137.990005,139.100006,139.100006,28501900.0
GOOGL,2023-10-17,0.0727,0.841,0.0862,0.4273,138.630005,139.899994,137.179993,139.720001,139.720001,23515800.0
GOOGL,2023-10-18,0.0612,0.8659,0.073,0.4541,139.449997,140.720001,137.380005,137.960007,137.960007,23375000.0
GOOGL,2023-10-19,0.0307,0.8867,0.0828,0.846,138.5,139.660004,137.380005,137.75,137.75,26066000.0
GOOGL,2023-10-20,0.041,0.8337,0.1253,0.5387,137.330002,137.869995,135.080002,135.600006,135.600006,26315200.0
GOOGL,2023-10-21,0.0408,0.8679,0.0915,0.5366,,,,,,
GOOGL,2023-10-22,0.0117,0.8691,0.1193,0.9947,,,,,,
GOOGL,2023-10-23,0.0141,0.8688,0.1168,0.9881,135.039993,137.660004,133.949997,136.5,136.5,26317900.0
GOOGL,2023-10-24,0.0133,0.8744,0.112,0.9858,137.830002,139.360001,137.419998,138.809998,138.809998,44814300.0
GOOGL,2023-10-25,0.0397,0.8322,0.1283,0.9954,128.160004,128.309998,125.07,125.610001,125.610001,84366200.0
GOOGL,2023-10-26,0.049,0.8272,0.1243,0.9909,123.269997,124.330002,121.269997,122.279999,122.279999,57061100.0
GOOGL,2023-10-27,0.0316,0.8798,0.089,0.8492,122.879997,123.309998,120.209999,122.169998,122.169998,44566500.0
GOOGL,2023-10-28,0.0515,0.8082,0.1399,0.9739,,,,,,
GOOGL,2023-10-29,0.0402,0.8447,0.115,0.9894,,,,,,
GOOGL,2023-10-30,0.046,0.8322,0.1218,0.5464,123.209999,125.400002,122.75,124.459999,124.459999,28940100.0
GOOGL,2023-10-31,0.0652,0.831,0.1038,0.3714,125.059998,125.370003,122.690002,124.080002,124.080002,26292300.0
FB,2023-10-01,0.0485,0.8355,0.1165,0.8927,,,,,,
FB,2023-10-02,0.033,0.9133,0.0541,0.6604,302.73999,307.179993,301.630005,306.820007,306.820007,16265600.0
FB,2023-10-03,0.0333,0.9124,0.0542,0.641,304.26001,306.769989,299.640015,300.940002,300.940002,17362300.0
FB,2023-10-04,0.0413,0.8846,0.074,0.2661,298.730011,306.899994,298.5,305.579987,305.579987,16880500.0
FB,2023-10-05,0.042,0.5847,0.0403,-0.0606,304.630005,306.209991,299.5,304.790009,304.790009,19130000.0
FB,2023-10-06,0.025,0.4495,0.0255,0.3243,301.440002,316.309998,300.910004,315.429993,315.429993,21784000.0
FB,2023-10-07,0.067,0.824,0.109,0.9761,,,,,,
FB,2023-10-08,0.012,0.8905,0.0972,0.988,,,,,,
FB,2023-10-09,0.0077,0.895,0.097,0.9865,312.5,320.329987,311.820007,318.359985,318.359985,22503700.0
FB,2023-10-10,0.0503,0.543,0.0733,0.4318,319.119995,324.660004,318.160004,321.839996,321.839996,19038000.0
FB,2023-10-11,0.087,0.8385,0.074,-0.015,323.01001,328.839996,322.950012,327.820007,327.820007,22036300.0
FB,2023-10-12,0.0977,0.8316,0.0703,-0.3289,328.0,330.540009,322.690002,324.160004,324.160004,20530500.0
FB,2023-10-13,0.065,0.8443,0.091,0.2808,323.529999,325.049988,312.369995,314.690002,314.690002,21341000.0
FB,2023-10-14,0.0565,0.383,0.0605,0.43375,,,,,,
FB,2023-10-15,0.0695,0.832,0.0985,0.0219,,,,,,
FB,2023-10-16,0.0695,0.832,0.0985,0.0219,318.640015,321.820007,315.519989,321.149994,321.149994,16536100.0
FB,2023-10-17,0.0098,0.8875,0.1028,0.8833,318.179993,324.399994,317.299988,324.0,324.0,16387800.0
FB,2023-10-18,0.0252,0.8861,0.089,0.5575,321.390015,325.940002,315.559998,316.970001,316.970001,16851000.0
FB,2023-10-19,0.042,0.6362,0.0721,0.1854,319.880005,321.890015,311.75,312.809998,312.809998,18709200.0
FB,2023-10-20,0.0603,0.8366,0.103,0.6585,314.140015,315.299988,306.470001,308.649994,308.649994,22287400.0
FB,2023-10-21,0.0807,0.8123,0.107,0.9631,,,,,,
FB,2023-10-22,0.0538,0.8195,0.1267,0.9899,,,,,,
FB,2023-10-23,0.0745,0.625,0.0505,-0.6584,309.5,317.359985,307.26001,314.01001,314.01001,17796800.0
FB,2023-10-24,0.0533,0.8546,0.0925,0.5599,316.779999,318.350006,310.630005,312.549988,312.549988,19525500.0
FB,2023-10-25,0.0278,0.9016,0.071,0.7388,310.0,310.880005,298.839996,299.529999,299.529999,42192500.0
FB,2023-10-26,0.0518,0.8487,0.099,0.4746,295.0,295.0,279.399994,288.350006,288.350006,66684100.0
FB,2023-10-27,0.05,0.8764,0.0731,0.3611,294.480011,299.309998,292.970001,296.730011,296.730011,29596300.0
FB,2023-10-29,0.0266,0.8686,0.1053,0.6564,,,,,,
FB,2023-10-30,0.0338,0.8646,0.1021,0.6604,299.089996,309.399994,299.049988,302.660004,302.660004,28435100.0
FB,2023-10-31,0.0635,0.8716,0.0647,-0.0401,303.309998,303.679993,296.859985,301.269989,301.269989,19434200.0
TSLA,2023-10-01,0.0503,0.882,0.0675,0.0119,,,,,,
TSLA,2023-10-02,0.0335,0.8451,0.1218,0.977,244.809998,254.279999,242.619995,251.600006,251.600006,123810400.0
TSLA,2023-10-03,0.0503,0.7865,0.1635,0.9974,248.610001,250.020004,244.449997,246.529999,246.529999,101985300.0
TSLA,2023-10-04,0.0749,0.839,0.0859,0.0132,248.139999,261.859985,247.600006,261.160004,261.160004,129721600.0
TSLA,2023-10-05,0.078,0.842,0.0799,0.01,260.0,263.600006,256.25,260.049988,260.049988,119159200.0
TSLA,2023-10-06,0.0336,0.845,0.1214,0.9512,253.979996,261.649994,250.649994,260.529999,260.529999,117947000.0
TSLA,2023-10-07,0.0287,0.9157,0.0552,0.5509,,,,,,
TSLA,2023-10-08,0.0177,0.8788,0.1036,0.9886,,,,,,
TSLA,2023-10-09,0.0177,0.8788,0.1036,0.9886,255.309998,261.359985,252.050003,259.670013,259.670013,101377900.0
TSLA,2023-10-10,0.0562,0.8214,0.1225,0.7302,257.75,268.940002,257.649994,263.619995,263.619995,122656000.0
TSLA,2023-10-11,0.0369,0.8435,0.1192,0.9796,266.200012,268.600006,260.899994,262.98999,262.98999,103706300.0
TSLA,2023-10-12,0.0303,0.8718,0.0978,0.967,262.920013,265.410004,256.630005,258.869995,258.869995,111508100.0
TSLA,2023-10-13,0.0445,0.8674,0.0882,0.8932,258.899994,259.600006,250.220001,251.119995,251.119995,102073800.0
TSLA,2023-10-14,0.0362,0.855,0.1087,0.9866,,,,,,
TSLA,2023-10-15,0.0519,0.8423,0.106,0.7656,,,,,,
TSLA,2023-10-16,0.0529,0.851,0.0963,0.7655,250.050003,255.399994,248.479996,253.919998,253.919998,88917200.0
TSLA,2023-10-17,0.0705,0.617,0.0628,0.162,250.100006,257.179993,247.080002,254.850006,254.850006,93562900.0
TSLA,2023-10-18,0.0622,0.8191,0.1188,0.8621,252.699997,254.630005,242.080002,242.679993,242.679993,125147800.0
TSLA,2023-10-19,0.0517,0.8263,0.1221,0.9454,225.949997,230.610001,216.779999,220.110001,220.110001,170772700.0
TSLA,2023-10-20,0.0553,0.8482,0.0963,0.4796,217.009995,218.860001,210.419998,211.990005,211.990005,137734000.0
TSLA,2023-10-21,0.032,0.867,0.1005,0.9803,,,,,,
TSLA,2023-10-22,0.0462,0.855,0.099,0.5014,,,,,,
