,stock,date,neg,neu,pos,compound,open,high,low,close,adj close,volume
0,BAC,2023-10-01,0.0485,0.833,0.119,0.9958,,,,,,
1,BAC,2023-10-02,0.0485,0.833,0.119,0.9958,27.27,27.360001,26.58,26.700001,26.700001,50388600.0
2,BAC,2023-10-03,0.02,0.873,0.107,0.9932,26.49,26.52,25.82,25.91,25.91,62144500.0
3,BAC,2023-10-04,0.02,0.873,0.107,0.9932,25.879999,26.01,25.58,25.940001,25.940001,55696400.0
4,BAC,2023-10-05,0.1065,0.81,0.0835,-0.3283,25.780001,26.09,25.559999,26.059999,26.059999,49044100.0
5,BAC,2023-10-06,0.1065,0.81,0.0835,-0.3283,25.77,26.23,25.469999,26.07,26.07,58120700.0
6,BAC,2023-10-07,0.0465,0.826,0.1275,0.8044,25.77,26.23,25.469999,26.07,26.07,52065033.333333336
7,BAC,2023-10-08,0.0715,0.8555,0.073,-0.1666,25.77,26.23,25.469999,26.07,26.07,46009366.66666666
8,BAC,2023-10-09,0.0245,0.84,0.135,0.9978,25.76,26.360001,25.719999,26.309999,26.309999,39953700.0
9,BAC,2023-10-10,0.0265,0.8715,0.101,0.9943,26.610001,27.299999,26.57,27.01,27.01,51960100.0
10,BAC,2023-10-11,0.023,0.8735,0.103,0.9921,27.17,27.440001,26.9,27.02,27.02,38508200.0
11,BAC,2023-10-12,0.042,0.8205,0.138,0.9952,26.969999,27.08,26.610001,26.9,26.9,44249800.0
12,BAC,2023-10-13,0.043,0.8715,0.086,0.9206,27.43,27.719999,26.52,26.76,26.76,55089700.0
13,BAC,2023-10-14,0.0445,0.889,0.0665,0.9137,27.43,27.719999,26.52,26.76,26.76,55665633.333333336
14,BAC,2023-10-15,0.041,0.833,0.126,0.991,27.43,27.719999,26.52,26.76,26.76,56241566.66666666
15,BAC,2023-10-16,0.023,0.8825,0.0955,0.9866,27.16,27.18,26.77,26.99,26.99,56817500.0
16,BAC,2023-10-17,0.023,0.8825,0.0955,0.9866,27.049999,27.870001,26.719999,27.620001,27.620001,95344200.0
