,,neg,neu,pos,compound
PYPL,2023-10-1,0.0115,0.83,0.1585,0.9989
PYPL,2023-10-2,0.0175,0.872,0.1105,0.9982
PYPL,2023-10-3,0.0165,0.892,0.0915,0.9599
PYPL,2023-10-4,0.026,0.897,0.077,0.936
PYPL,2023-10-5,0.026,0.897,0.077,0.936
PYPL,2023-10-6,0.0775,0.8715,0.051,-0.0039
PYPL,2023-10-7,0.0055,0.8285,0.166,0.9998
PYPL,2023-10-8,0.019,0.8195,0.1615,0.9991
PYPL,2023-10-9,0.0,0.8115,0.1885,0.9602
PYPL,2023-10-10,0.03,0.843,0.127,0.9946
PYPL,2023-10-11,0.03,0.843,0.127,0.9946
PYPL,2023-10-12,0.02,0.827,0.1535,0.9128
PYPL,2023-10-13,0.0435,0.812,0.145,0.9134
PYPL,2023-10-14,0.057,0.795,0.148,0.9998
PYPL,2023-10-15,0.0315,0.888,0.0805,0.8998
PYPL,2023-10-16,0.011,0.881,0.1075,0.9944
PYPL,2023-10-17,0.011,0.881,0.1075,0.9944
PYPL,2023-10-18,0.0265,0.842,0.1315,0.996
PYPL,2023-10-19,0.04,0.8305,0.13,0.5341
PYPL,2023-10-20,0.0325,0.8275,0.1395,0.5415
PYPL,2023-10-21,0.061,0.8275,0.1115,0.0209
PYPL,2023-10-22,0.012,0.885,0.103,0.9914
PYPL,2023-10-23,0.031,0.866,0.103,0.9888
PYPL,2023-10-24,0.055,0.8155,0.129,0.98
PYPL,2023-10-25,0.055,0.8155,0.129,0.98
PYPL,2023-10-26,0.029,0.832,0.139,0.9968
PYPL,2023-10-27,0.025,0.79,0.185,0.9989
PYPL,2023-10-28,0.069,0.732,0.199,0.9986
PYPL,2023-10-29,0.04,0.826,0.134,0.9955
PYPL,2023-10-30,0.0315,0.8435,0.1255,0.9786
AAPL,2023-10-1,0.0295,0.893,0.0775,0.2673
AAPL,2023-10-2,0.0205,0.85,0.1295,0.9907
AAPL,2023-10-3,0.0215,0.908,0.0705,0.9749
AAPL,2023-10-4,0.017,0.883,0.1,0.9827
AAPL,2023-10-5,0.012,0.8575,0.13,0.9984
AAPL,2023-10-6,0.032,0.829,0.138,0.998
AAPL,2023-10-7,0.012,0.881,0.107,0.999
AAPL,2023-10-8,0.014,0.8985,0.087,0.9927
AAPL,2023-10-9,0.014,0.8705,0.1145,0.9926
AAPL,2023-10-10,0.0475,0.843,0.109,0.409
AAPL,2023-10-11,0.0775,0.862,0.0605,-0.4294
AAPL,2023-10-12,0.067,0.8805,0.0525,-0.2954
AAPL,2023-10-13,0.055,0.889,0.056,0.09
AAPL,2023-10-14,0.027,0.9185,0.0545,0.8073
AAPL,2023-10-15,0.016,0.9205,0.064,0.9116
AAPL,2023-10-16,0.052,0.8715,0.077,0.1502
AAPL,2023-10-17,0.014,0.897,0.09,0.9747
AAPL,2023-10-18,0.0385,0.826,0.136,0.9982
AAPL,2023-10-19,0.025,0.848,0.127,0.9651
AAPL,2023-10-20,0.025,0.848,0.127,0.9651
AAPL,2023-10-21,0.0115,0.893,0.096,0.9934
AAPL,2023-10-22,0.013,0.8565,0.131,0.9965
AAPL,2023-10-23,0.02,0.857,0.1235,0.9929
AAPL,2023-10-24,0.0235,0.9135,0.063,0.6633
AAPL,2023-10-25,0.045,0.8755,0.0795,0.3024
AAPL,2023-10-26,0.0445,0.8575,0.098,0.9924
AAPL,2023-10-27,0.027,0.9025,0.0705,0.981
AAPL,2023-10-28,0.063,0.852,0.085,0.7656
AAPL,2023-10-29,0.022,0.893,0.085,0.9895
AAPL,2023-10-30,0.015,0.8685,0.117,0.9913
JPM,2023-10-1,0.0385,0.806,0.1555,0.9849
JPM,2023-10-2,0.0095,0.858,0.1325,0.9924
JPM,2023-10-3,0.034,0.8435,0.1225,0.9189
JPM,2023-10-4,0.079,0.856,0.065,-0.0323
JPM,2023-10-5,0.08,0.811,0.109,0.0108
JPM,2023-10-6,0.08,0.811,0.109,0.0108
JPM,2023-10-7,0.06,0.885,0.054,-0.25
JPM,2023-10-8,0.0085,0.837,0.1545,0.9972
JPM,2023-10-9,0.0085,0.837,0.1545,0.9972
JPM,2023-10-10,0.0285,0.8105,0.161,0.9985
JPM,2023-10-11,0.0,0.9345,0.0655,0.8817
JPM,2023-10-12,0.029,0.8675,0.1035,0.9918
JPM,2023-10-13,0.0325,0.8655,0.1015,0.9849
JPM,2023-10-14,0.0475,0.8595,0.093,0.9782
JPM,2023-10-15,0.027,0.7855,0.1875,0.9996
JPM,2023-10-16,0.0265,0.8095,0.164,0.9951
JPM,2023-10-17,0.05,0.8085,0.142,0.9942
JPM,2023-10-18,0.05,0.8085,0.142,0.9942
JPM,2023-10-19,0.03,0.8135,0.156,0.9992
JPM,2023-10-20,0.03,0.8135,0.156,0.9992
JPM,2023-10-21,0.054,0.8575,0.0885,0.9204
JPM,2023-10-22,0.079,0.8295,0.0915,0.0139
JPM,2023-10-23,0.0755,0.8655,0.059,-0.6851
JPM,2023-10-24,0.0955,0.8555,0.0485,-0.9515
JPM,2023-10-25,0.0625,0.8925,0.0445,-0.1267
JPM,2023-10-26,0.0325,0.8725,0.095,0.7685
JPM,2023-10-27,0.0325,0.8725,0.095,0.7685
JPM,2023-10-28,0.1245,0.811,0.065,-0.0287
JPM,2023-10-29,0.043,0.819,0.1375,0.771
JPM,2023-10-30,0.0665,0.8535,0.0805,0.0293
INTC,2023-10-1,0.0155,0.8655,0.1195,0.9962
INTC,2023-10-2,0.0155,0.8655,0.1195,0.9962
INTC,2023-10-3,0.015,0.864,0.1215,0.9826
INTC,2023-10-4,0.0045,0.84,0.155,0.997
INTC,2023-10-5,0.0285,0.8485,0.123,0.9931
INTC,2023-10-6,0.045,0.86,0.0945,0.5678
INTC,2023-10-7,0.0325,0.882,0.085,0.5645
INTC,2023-10-8,0.0125,0.916,0.0715,0.8923
INTC,2023-10-9,0.0125,0.916,0.0715,0.8923
INTC,2023-10-10,0.02,0.8565,0.1235,0.9945
INTC,2023-10-11,0.0175,0.87,0.1125,0.995
INTC,2023-10-12,0.066,0.845,0.089,0.2203
INTC,2023-10-13,0.0515,0.853,0.0955,0.2188
INTC,2023-10-14,0.01,0.942,0.048,0.9096
INTC,2023-10-15,0.004,0.8385,0.1575,0.9971
INTC,2023-10-16,0.015,0.8395,0.1455,0.9948
INTC,2023-10-17,0.015,0.8395,0.1455,0.9948
INTC,2023-10-18,0.034,0.837,0.129,0.9986
INTC,2023-10-19,0.0275,0.872,0.1005,0.8705
INTC,2023-10-20,0.016,0.8755,0.1085,0.9845
INTC,2023-10-21,0.029,0.881,0.09,0.9671
INTC,2023-10-22,0.0375,0.8845,0.0775,0.9548
INTC,2023-10-23,0.0305,0.8705,0.099,0.9734
INTC,2023-10-24,0.019,0.8895,0.0915,0.9698
INTC,2023-10-25,0.004,0.9045,0.0915,0.9859
INTC,2023-10-26,0.0105,0.836,0.153,0.998
INTC,2023-10-27,0.0165,0.7995,0.1835,0.9995
INTC,2023-10-28,0.0365,0.8525,0.11,0.9699
INTC,2023-10-29,0.0265,0.8245,0.1485,0.9963
INTC,2023-10-30,0.009,0.86,0.131,0.9985
