,Stock,Date,neg,neu,pos,compound
0,AMZN,2023-10-01,0.008,0.8528,0.1393,0.9914
1,AMZN,2023-10-02,0.028,0.8427,0.1293,0.7126
2,AMZN,2023-10-03,0.028,0.889,0.083,0.7063
3,AMZN,2023-10-04,0.0127,0.894,0.0935,0.9874
4,AMZN,2023-10-05,0.0155,0.8698,0.1155,0.9881
5,AMZN,2023-10-06,0.0138,0.8343,0.1515,0.9775
6,AMZN,2023-10-07,0.0275,0.8265,0.1465,0.9968
7,AMZN,2023-10-08,0.0285,0.8185,0.1532,0.9988
8,AMZN,2023-10-09,0.043,0.8095,0.1472,0.995
9,AMZN,2023-10-10,0.034,0.8167,0.1495,0.9991
10,AMZN,2023-10-11,0.034,0.8167,0.1495,0.9991
11,AMZN,2023-10-12,0.014,0.8427,0.1435,0.7493
12,AMZN,2023-10-13,0.0415,0.7708,0.188,0.9924
13,AMZN,2023-10-14,0.0135,0.8488,0.1378,0.9994
14,AMZN,2023-10-15,0.002,0.4325,0.0655,0.4965
15,AMZN,2023-10-16,0.0083,0.8635,0.1283,0.9943
16,AMZN,2023-10-17,0.0063,0.8822,0.1115,0.8936
17,AMZN,2023-10-18,0.0643,0.824,0.1123,0.0362
18,AMZN,2023-10-19,0.053,0.7913,0.1557,0.5148
19,AMZN,2023-10-20,0.0203,0.835,0.1442,0.9937
20,AMZN,2023-10-21,0.062,0.8448,0.0935,0.9085
21,AMZN,2023-10-22,0.034,0.8532,0.1128,0.9333
22,AMZN,2023-10-23,0.0222,0.8185,0.1593,0.999
23,AMZN,2023-10-24,0.0208,0.8143,0.165,0.9988
24,AMZN,2023-10-25,0.0217,0.8297,0.1485,0.998
25,AMZN,2023-10-26,0.019,0.8718,0.1092,0.9921
26,AMZN,2023-10-27,0.0152,0.819,0.1658,0.9975
27,AMZN,2023-10-28,0.0418,0.8405,0.1172,0.9725
28,AMZN,2023-10-29,0.039,0.8243,0.1365,0.9688
29,AMZN,2023-10-30,0.0288,0.8267,0.1442,0.9941
30,AMZN,2023-10-31,0.0288,0.8233,0.1487,0.997
31,NVDA,2023-10-01,0.0278,0.8107,0.161,0.9866
32,NVDA,2023-10-02,0.0297,0.8043,0.1655,0.9831
