Stock,Date,neg,neu,pos,compound
MSFT,2023-10-01,0.049,0.8329,0.1178,0.4547
MSFT,2023-10-02,0.0372,0.8385,0.124,0.9715
MSFT,2023-10-03,0.0319,0.883,0.0847,0.9553
MSFT,2023-10-04,0.0262,0.8513,0.1227,0.9755
MSFT,2023-10-05,0.0195,0.8403,0.1406,0.9917
MSFT,2023-10-06,0.0097,0.8671,0.1234,0.8618
MSFT,2023-10-07,0.0295,0.8587,0.1116,0.78
MSFT,2023-10-08,0.0333,0.8983,0.0685,0.5313
MSFT,2023-10-09,0.02,0.8955,0.0846,0.9028
MSFT,2023-10-10,0.0283,0.9073,0.0644,0.4455
MSFT,2023-10-11,0.0415,0.9027,0.0556,0.0516
MSFT,2023-10-12,0.0418,0.8725,0.086,0.9827
MSFT,2023-10-13,0.0465,0.8648,0.089,0.9828
MSFT,2023-10-14,0.042,0.8467,0.1115,0.9923
MSFT,2023-10-15,0.0199,0.6613,0.0687,0.6947
MSFT,2023-10-16,0.0158,0.6649,0.0693,0.7408
MSFT,2023-10-17,0.0165,0.6578,0.0757,0.7421
MSFT,2023-10-18,0.0197,0.8628,0.1174,0.6399
MSFT,2023-10-19,0.0318,0.8447,0.1235,0.9983
MSFT,2023-10-20,0.0318,0.8447,0.1235,0.9983
MSFT,2023-10-21,0.0633,0.8605,0.0761,0.4412
MSFT,2023-10-22,0.0219,0.8232,0.1549,0.9973
MSFT,2023-10-23,0.0107,0.8486,0.141,0.9937
MSFT,2023-10-24,0.0088,0.8818,0.1095,0.9942
MSFT,2023-10-25,0.0141,0.8618,0.1237,0.9974
MSFT,2023-10-26,0.0124,0.8542,0.1333,0.9988
MSFT,2023-10-27,0.0238,0.8519,0.1245,0.9957
MSFT,2023-10-28,0.0287,0.8073,0.164,0.9989
MSFT,2023-10-29,0.0212,0.8419,0.1367,0.9914
MSFT,2023-10-30,0.008,0.8175,0.1745,0.9971
MSFT,2023-10-31,0.0243,0.6295,0.0963,0.3085
GOOGL,2023-10-01,0.0563,0.8402,0.103,0.4812
GOOGL,2023-10-02,0.0265,0.8585,0.115,0.9748
GOOGL,2023-10-03,0.0235,0.8798,0.0968,0.9669
GOOGL,2023-10-04,0.0515,0.8654,0.083,0.7261
GOOGL,2023-10-05,0.06,0.8518,0.0878,0.7311
GOOGL,2023-10-06,0.0523,0.6277,0.07,0.2445
GOOGL,2023-10-07,0.0115,0.6298,0.109,0.7497
GOOGL,2023-10-08,0.0148,0.8641,0.1212,0.9943
GOOGL,2023-10-09,0.0212,0.8617,0.1172,0.9954
GOOGL,2023-10-10,0.0152,0.6502,0.0848,0.7382
GOOGL,2023-10-11,0.0282,0.8922,0.0795,0.2137
GOOGL,2023-10-12,0.0491,0.8772,0.0738,0.185
GOOGL,2023-10-13,0.0137,0.4168,0.0695,0.4997
GOOGL,2023-10-14,0.0241,0.8635,0.1122,0.9939
GOOGL,2023-10-15,0.0347,0.866,0.0995,0.9869
GOOGL,2023-10-16,0.0339,0.8631,0.1033,0.9868
GOOGL,2023-10-17,0.0727,0.841,0.0862,0.4273
GOOGL,2023-10-18,0.0612,0.8659,0.073,0.4541
GOOGL,2023-10-19,0.0307,0.8867,0.0828,0.846
GOOGL,2023-10-20,0.041,0.8337,0.1253,0.5387
GOOGL,2023-10-21,0.0408,0.8679,0.0915,0.5366
GOOGL,2023-10-22,0.0117,0.8691,0.1193,0.9947
GOOGL,2023-10-23,0.0141,0.8688,0.1168,0.9881
GOOGL,2023-10-24,0.0133,0.8744,0.112,0.9858
GOOGL,2023-10-25,0.0397,0.8322,0.1283,0.9954
GOOGL,2023-10-26,0.049,0.8272,0.1243,0.9909
GOOGL,2023-10-27,0.0316,0.8798,0.089,0.8492
GOOGL,2023-10-28,0.0515,0.8082,0.1399,0.9739
GOOGL,2023-10-29,0.0402,0.8447,0.115,0.9894
GOOGL,2023-10-30,0.046,0.8322,0.1218,0.5464
GOOGL,2023-10-31,0.0652,0.831,0.1038,0.3714
FB,2023-10-01,0.0485,0.8355,0.1165,0.8927
FB,2023-10-02,0.033,0.9133,0.0541,0.6604
FB,2023-10-03,0.0333,0.9124,0.0542,0.641
FB,2023-10-04,0.0413,0.8846,0.074,0.2661
FB,2023-10-05,0.042,0.5847,0.0403,-0.0606
FB,2023-10-06,0.025,0.4495,0.0255,0.3243
FB,2023-10-07,0.067,0.824,0.109,0.9761
FB,2023-10-08,0.012,0.8905,0.0972,0.988
FB,2023-10-09,0.0077,0.895,0.097,0.9865
FB,2023-10-10,0.0503,0.543,0.0733,0.4318
FB,2023-10-11,0.087,0.8385,0.074,-0.015
FB,2023-10-12,0.0977,0.8316,0.0703,-0.3289
FB,2023-10-13,0.065,0.8443,0.091,0.2808
FB,2023-10-14,0.0565,0.383,0.0605,0.43375
FB,2023-10-15,0.0695,0.832,0.0985,0.0219
FB,2023-10-16,0.0695,0.832,0.0985,0.0219
FB,2023-10-17,0.0098,0.8875,0.1028,0.8833
FB,2023-10-18,0.0252,0.8861,0.089,0.5575
FB,2023-10-19,0.042,0.6362,0.0721,0.1854
FB,2023-10-20,0.0603,0.8366,0.103,0.6585
FB,2023-10-21,0.0807,0.8123,0.107,0.9631
FB,2023-10-22,0.0538,0.8195,0.1267,0.9899
FB,2023-10-23,0.0745,0.625,0.0505,-0.6584
FB,2023-10-24,0.0533,0.8546,0.0925,0.5599
FB,2023-10-25,0.0278,0.9016,0.071,0.7388
FB,2023-10-26,0.0518,0.8487,0.099,0.4746
FB,2023-10-27,0.05,0.8764,0.0731,0.3611
FB,2023-10-29,0.0266,0.8686,0.1053,0.6564
FB,2023-10-30,0.0338,0.8646,0.1021,0.6604
FB,2023-10-31,0.0635,0.8716,0.0647,-0.0401
TSLA,2023-10-01,0.0503,0.882,0.0675,0.0119
TSLA,2023-10-02,0.0335,0.8451,0.1218,0.977
TSLA,2023-10-03,0.0503,0.7865,0.1635,0.9974
TSLA,2023-10-04,0.0749,0.839,0.0859,0.0132
TSLA,2023-10-05,0.078,0.842,0.0799,0.01
TSLA,2023-10-06,0.0336,0.845,0.1214,0.9512
TSLA,2023-10-07,0.0287,0.9157,0.0552,0.5509
TSLA,2023-10-08,0.0177,0.8788,0.1036,0.9886
TSLA,2023-10-09,0.0177,0.8788,0.1036,0.9886
TSLA,2023-10-10,0.0562,0.8214,0.1225,0.7302
TSLA,2023-10-11,0.0369,0.8435,0.1192,0.9796
TSLA,2023-10-12,0.0303,0.8718,0.0978,0.967
TSLA,2023-10-13,0.0445,0.8674,0.0882,0.8932
TSLA,2023-10-14,0.0362,0.855,0.1087,0.9866
TSLA,2023-10-15,0.0519,0.8423,0.106,0.7656
TSLA,2023-10-16,0.0529,0.851,0.0963,0.7655
TSLA,2023-10-17,0.0705,0.617,0.0628,0.162
TSLA,2023-10-18,0.0622,0.8191,0.1188,0.8621
TSLA,2023-10-19,0.0517,0.8263,0.1221,0.9454
TSLA,2023-10-20,0.0553,0.8482,0.0963,0.4796
TSLA,2023-10-21,0.032,0.867,0.1005,0.9803
TSLA,2023-10-22,0.0462,0.855,0.099,0.5014
TSLA,2023-10-23,0.0462,0.855,0.099,0.5014
TSLA,2023-10-24,0.047,0.8795,0.073,0.3689
TSLA,2023-10-25,0.0441,0.8778,0.078,0.9055
TSLA,2023-10-26,0.0558,0.865,0.0793,0.4606
TSLA,2023-10-27,0.0711,0.846,0.0828,0.0482
TSLA,2023-10-28,0.0383,0.892,0.0693,0.909
TSLA,2023-10-29,0.064,0.851,0.0848,0.3555
TSLA,2023-10-30,0.0973,0.8191,0.0837,-0.235
TSLA,2023-10-31,0.0849,0.8053,0.1098,-0.0748
