,Stock,Date,neg,neu,pos,compound
0,AAPL,2023-10-01,0.0605,0.8815,0.0575,-0.4582
1,AAPL,2023-10-02,0.041,0.893,0.066,0.2672
2,AAPL,2023-10-03,0.0215,0.908,0.0705,0.9749
3,AAPL,2023-10-04,0.017,0.883,0.1,0.9827
4,AAPL,2023-10-05,0.018,0.8855,0.0965,0.9552
5,AAPL,2023-10-06,0.0365,0.819,0.144,0.9986
6,AAPL,2023-10-07,0.016,0.848,0.136,0.9996
7,AAPL,2023-10-08,0.014,0.8985,0.087,0.9927
8,AAPL,2023-10-09,0.014,0.8705,0.1145,0.9926
9,AAPL,2023-10-10,0.0475,0.843,0.109,0.409
10,AAPL,2023-10-11,0.0775,0.862,0.0605,-0.4294
11,AAPL,2023-10-12,0.048,0.8905,0.0615,0.5066
12,AAPL,2023-10-13,0.048,0.8905,0.0615,0.5066
13,AAPL,2023-10-14,0.0385,0.865,0.0965,0.9893
14,AAPL,2023-10-15,0.048,0.856,0.0955,0.9822
15,AAPL,2023-10-16,0.0925,0.8075,0.1,0.005
16,AAPL,2023-10-17,0.004,0.8905,0.1055,0.9975
17,AAPL,2023-10-18,0.0385,0.857,0.105,0.2971
18,AAPL,2023-10-19,0.025,0.848,0.127,0.9651
19,AAPL,2023-10-20,0.025,0.848,0.127,0.9651
20,AAPL,2023-10-21,0.0115,0.893,0.096,0.9934
21,AAPL,2023-10-22,0.013,0.8565,0.131,0.9965
22,AAPL,2023-10-23,0.02,0.857,0.1235,0.9929
23,AAPL,2023-10-24,0.0165,0.9205,0.063,0.9069
24,AAPL,2023-10-25,0.0165,0.9205,0.063,0.9069
25,AAPL,2023-10-26,0.0445,0.8575,0.098,0.9924
26,AAPL,2023-10-27,0.0445,0.8575,0.098,0.9924
27,AAPL,2023-10-28,0.063,0.852,0.085,0.7656
28,AAPL,2023-10-29,0.022,0.893,0.085,0.9895
29,AAPL,2023-10-30,0.015,0.8685,0.117,0.9913
0,INTC,2023-10-01,0.0155,0.8655,0.1195,0.9962
1,INTC,2023-10-02,0.0155,0.8655,0.1195,0.9962
2,INTC,2023-10-03,0.015,0.864,0.1215,0.9826
3,INTC,2023-10-04,0.0175,0.839,0.144,0.9988
4,INTC,2023-10-05,0.0095,0.866,0.1245,0.9883
5,INTC,2023-10-06,0.0155,0.887,0.097,0.9582
6,INTC,2023-10-07,0.024,0.8405,0.1355,0.9958
7,INTC,2023-10-08,0.026,0.8935,0.0805,0.8649
8,INTC,2023-10-09,0.0055,0.869,0.1255,0.9888
9,INTC,2023-10-10,0.0085,0.853,0.1385,0.9951
10,INTC,2023-10-11,0.0175,0.87,0.1125,0.995
11,INTC,2023-10-12,0.0315,0.8585,0.1105,0.9986
12,INTC,2023-10-13,0.035,0.847,0.1185,0.9587
13,INTC,2023-10-14,0.0685,0.843,0.0885,0.931
14,INTC,2023-10-15,0.029,0.8795,0.091,0.9914
15,INTC,2023-10-16,0.015,0.8395,0.1455,0.9948
16,INTC,2023-10-17,0.026,0.8915,0.0825,0.9826
17,INTC,2023-10-18,0.0275,0.871,0.1015,0.8705
18,INTC,2023-10-19,0.0275,0.871,0.1015,0.8705
19,INTC,2023-10-20,0.0315,0.9195,0.049,0.4879
20,INTC,2023-10-21,0.064,0.806,0.13,0.9982
21,INTC,2023-10-22,0.041,0.8535,0.105,0.9736
22,INTC,2023-10-23,0.0305,0.8705,0.099,0.9734
23,INTC,2023-10-24,0.0125,0.8835,0.104,0.9891
24,INTC,2023-10-25,0.004,0.9045,0.0915,0.9345
25,INTC,2023-10-26,0.03,0.8585,0.1115,0.9962
26,INTC,2023-10-27,0.0425,0.819,0.1385,0.9947
27,INTC,2023-10-28,0.067,0.8395,0.093,0.8816
28,INTC,2023-10-29,0.0255,0.835,0.139,0.9932
