,Date,Open,High,Low,Close,Adj Close,Volume,Stock
0,2023-10-02,171.220001,174.300003,170.929993,173.75,173.521393,52164500,AAPL
1,2023-10-03,172.259995,173.630005,170.820007,172.399994,172.173172,49594600,AAPL
2,2023-10-04,171.089996,174.210007,170.970001,173.660004,173.431519,53020300,AAPL
3,2023-10-05,173.789993,175.449997,172.679993,174.910004,174.679871,48527900,AAPL
4,2023-10-06,173.800003,177.990005,173.179993,177.490005,177.256485,57224100,AAPL
5,2023-10-09,176.809998,179.050003,175.800003,178.990005,178.754501,42390800,AAPL
6,2023-10-10,178.100006,179.720001,177.949997,178.389999,178.155289,43698000,AAPL
7,2023-10-11,178.199997,179.850006,177.600006,179.800003,179.563431,47551100,AAPL
8,2023-10-12,180.070007,182.339996,179.039993,180.710007,180.472244,56743100,AAPL
9,2023-10-13,181.419998,181.929993,178.139999,178.850006,178.614685,51427100,AAPL
10,2023-10-16,176.75,179.080002,176.509995,178.720001,178.484863,52517000,AAPL
11,2023-10-17,176.649994,178.419998,174.800003,177.149994,176.916916,57549400,AAPL
12,2023-10-18,175.580002,177.580002,175.110001,175.839996,175.608643,54764400,AAPL
13,2023-10-19,176.039993,177.839996,175.190002,175.460007,175.229156,59302900,AAPL
14,2023-10-20,175.309998,175.419998,172.639999,172.880005,172.652542,64189300,AAPL
15,2023-10-23,170.910004,174.009995,169.929993,173.0,172.772385,55980100,AAPL
16,2023-10-24,173.050003,173.669998,171.449997,173.440002,173.211807,43816600,AAPL
17,2023-10-25,171.880005,173.059998,170.649994,171.100006,170.874893,57157000,AAPL
18,2023-10-26,170.369995,171.380005,165.669998,166.889999,166.670425,70625300,AAPL
19,2023-10-27,166.910004,168.960007,166.830002,168.220001,167.998672,58499100,AAPL
20,2023-10-30,169.020004,171.169998,168.869995,170.289993,170.065933,51131000,AAPL
21,2023-10-02,35.610001,35.98,34.98,35.459999,35.343781,26086200,INTC
22,2023-10-03,35.27,36.540001,35.27,35.689999,35.573029,45292600,INTC
23,2023-10-04,36.52,36.52,35.330002,35.93,35.812244,39842200,INTC
24,2023-10-05,35.970001,36.099998,35.599998,35.889999,35.772373,25771200,INTC
25,2023-10-06,35.869999,36.459999,35.18,36.189999,36.071388,33252300,INTC
26,2023-10-09,35.700001,36.169998,35.5,36.060001,35.941818,19376100,INTC
27,2023-10-10,36.139999,36.740002,35.810001,36.43,36.310604,24044100,INTC
28,2023-10-11,36.619999,37.029999,36.380001,36.880001,36.759129,19262600,INTC
29,2023-10-12,36.799999,37.220001,36.389999,36.84,36.719261,23639200,INTC
30,2023-10-13,36.740002,36.790001,35.860001,35.970001,35.852112,28390100,INTC
31,2023-10-16,36.139999,36.939999,36.080002,36.560001,36.440178,29555800,INTC
32,2023-10-17,35.919998,36.349998,35.07,36.060001,35.941818,24993600,INTC
33,2023-10-18,35.52,36.02,35.450001,35.639999,35.523193,22086000,INTC
34,2023-10-19,35.959999,36.360001,35.52,35.669998,35.553093,29201800,INTC
35,2023-10-20,35.650002,36.279999,34.869999,34.919998,34.80555,32291800,INTC
36,2023-10-23,34.599998,35.189999,33.389999,33.849998,33.739059,53924700,INTC
37,2023-10-24,33.639999,34.709999,33.639999,34.59,34.476635,52673900,INTC
38,2023-10-25,34.18,34.450001,32.549999,32.830002,32.722404,44658500,INTC
39,2023-10-26,32.889999,33.220001,32.150002,32.52,32.413418,59142500,INTC
40,2023-10-27,34.66,36.380001,34.599998,35.540001,35.423523,84128200,INTC
41,2023-10-30,35.470001,35.959999,34.919998,35.689999,35.573029,36656300,INTC
42,2023-10-02,144.830002,145.619995,142.630005,143.770004,142.716919,9170600,JPM
43,2023-10-03,143.199997,143.589996,142.350006,142.710007,141.664688,9431100,JPM
44,2023-10-04,143.190002,143.470001,141.929993,143.350006,142.300003,8128700,JPM
45,2023-10-05,142.039993,143.100006,140.830002,142.899994,142.899994,8576200,JPM
46,2023-10-06,142.910004,145.880005,142.139999,145.100006,145.100006,10269400,JPM
47,2023-10-09,143.660004,145.399994,143.5,144.770004,144.770004,6964900,JPM
48,2023-10-10,145.419998,146.770004,145.279999,145.649994,145.649994,11288800,JPM
49,2023-10-11,146.509995,147.229996,145.020004,146.149994,146.149994,8698200,JPM
50,2023-10-12,146.300003,146.960007,145.130005,145.809998,145.809998,10484400,JPM
51,2023-10-13,148.5,153.110001,147.839996,148.0,148.0,29427000,JPM
52,2023-10-16,149.449997,149.520004,146.720001,147.850006,147.850006,12663500,JPM
53,2023-10-17,147.570007,149.309998,146.789993,147.529999,147.529999,11482700,JPM
54,2023-10-18,146.589996,147.479996,145.369995,145.910004,145.910004,9620300,JPM
55,2023-10-19,145.479996,147.020004,144.880005,145.289993,145.289993,11143600,JPM
56,2023-10-20,144.570007,145.139999,142.119995,142.949997,142.949997,13332000,JPM
57,2023-10-23,142.940002,143.679993,140.729996,141.0,141.0,10133400,JPM
58,2023-10-24,141.190002,141.729996,140.360001,141.169998,141.169998,8881400,JPM
59,2023-10-25,140.570007,141.179993,139.509995,140.399994,140.399994,8242600,JPM
60,2023-10-26,139.759995,141.669998,139.429993,140.759995,140.759995,9109400,JPM
61,2023-10-27,138.949997,139.100006,135.190002,135.690002,135.690002,17434700,JPM
62,2023-10-30,136.440002,138.039993,136.039993,137.419998,137.419998,9855500,JPM
63,2023-10-02,58.619999,59.639999,58.005001,58.560001,58.560001,12961500,PYPL
64,2023-10-03,57.889999,58.650002,57.119999,57.299999,57.299999,12014000,PYPL
65,2023-10-04,58.110001,58.654999,57.310001,58.57,58.57,11019600,PYPL
66,2023-10-05,58.389999,58.66,57.259998,57.48,57.48,13037200,PYPL
67,2023-10-06,56.830002,58.248001,55.860001,57.77,57.77,18344500,PYPL
68,2023-10-09,56.994999,58.09,56.318001,57.959999,57.959999,10376600,PYPL
69,2023-10-10,57.959999,58.5,57.41,57.720001,57.720001,17455200,PYPL
70,2023-10-11,58.110001,58.889999,57.580002,58.07,58.07,10866200,PYPL
71,2023-10-12,58.09,58.105,56.240002,56.355,56.355,13497100,PYPL
72,2023-10-13,56.5,56.880001,55.529999,55.75,55.75,12048500,PYPL
73,2023-10-16,56.110001,57.080002,55.810001,57.0,57.0,14267700,PYPL
74,2023-10-17,56.509998,57.59,56.490002,57.16,57.16,10325200,PYPL
75,2023-10-18,56.529999,57.097,55.705002,55.799999,55.799999,10514500,PYPL
76,2023-10-19,55.66,56.400002,54.700001,54.810001,54.810001,16298500,PYPL
77,2023-10-20,53.990002,54.470001,53.34,53.389999,53.389999,20966100,PYPL
78,2023-10-23,52.919998,54.125,52.650002,53.450001,53.450001,13629400,PYPL
79,2023-10-24,53.880001,54.610001,53.59,54.240002,54.240002,9733900,PYPL
80,2023-10-25,52.549999,52.779999,51.23,51.490002,51.490002,22784100,PYPL
81,2023-10-26,51.5,52.25,51.060001,51.75,51.75,17045600,PYPL
82,2023-10-27,51.509998,51.669998,50.25,50.389999,50.389999,18382700,PYPL
83,2023-10-30,50.950001,51.445,50.575001,51.049999,51.049999,13168900,PYPL
