Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-10-02,302.73999,307.179993,301.630005,306.820007,306.820007,16265600,FB
2023-10-03,304.26001,306.769989,299.640015,300.940002,300.940002,17362300,FB
2023-10-04,298.730011,306.899994,298.5,305.579987,305.579987,16880500,FB
2023-10-05,304.630005,306.209991,299.5,304.790009,304.790009,19130000,FB
2023-10-06,301.440002,316.309998,300.910004,315.429993,315.429993,21784000,FB
2023-10-09,312.5,320.329987,311.820007,318.359985,318.359985,22503700,FB
2023-10-10,319.119995,324.660004,318.160004,321.839996,321.839996,19038000,FB
2023-10-11,323.01001,328.839996,322.950012,327.820007,327.820007,22036300,FB
2023-10-12,328.0,330.540009,322.690002,324.160004,324.160004,20530500,FB
2023-10-13,323.529999,325.049988,312.369995,314.690002,314.690002,21341000,FB
2023-10-16,318.640015,321.820007,315.519989,321.149994,321.149994,16536100,FB
2023-10-17,318.179993,324.399994,317.299988,324.0,324.0,16387800,FB
2023-10-18,321.390015,325.940002,315.559998,316.970001,316.970001,16851000,FB
2023-10-19,319.880005,321.890015,311.75,312.809998,312.809998,18709200,FB
2023-10-20,314.140015,315.299988,306.470001,308.649994,308.649994,22287400,FB
2023-10-23,309.5,317.359985,307.26001,314.01001,314.01001,17796800,FB
2023-10-24,316.779999,318.350006,310.630005,312.549988,312.549988,19525500,FB
2023-10-25,310.0,310.880005,298.839996,299.529999,299.529999,42192500,FB
2023-10-26,295.0,295.0,279.399994,288.350006,288.350006,66684100,FB
2023-10-27,294.480011,299.309998,292.970001,296.730011,296.730011,29596300,FB
2023-10-30,299.089996,309.399994,299.049988,302.660004,302.660004,28435100,FB
2023-10-31,303.309998,303.679993,296.859985,301.269989,301.269989,19434200,FB
2023-10-02,131.210007,134.419998,131.169998,134.169998,134.169998,22288000,GOOGL
2023-10-03,133.940002,134.259995,131.839996,132.429993,132.429993,22989400,GOOGL
2023-10-04,132.789993,135.570007,132.529999,135.240005,135.240005,26752300,GOOGL
2023-10-05,135.070007,135.490005,133.449997,135.070007,135.070007,19832600,GOOGL
2023-10-06,134.009995,138.160004,134.009995,137.580002,137.580002,27583200,GOOGL
