,stock,date,neg,neu,pos,compound,volume
0,BAC,2023-10-01,0.0485,0.833,0.119,0.9958,
1,BAC,2023-10-02,0.0485,0.833,0.119,0.9958,50388600.0
2,BAC,2023-10-03,0.02,0.873,0.107,0.9932,62144500.0
3,BAC,2023-10-04,0.02,0.873,0.107,0.9932,55696400.0
4,BAC,2023-10-05,0.1065,0.81,0.0835,-0.3283,49044100.0
5,BAC,2023-10-06,0.1065,0.81,0.0835,-0.3283,58120700.0
6,BAC,2023-10-07,0.0465,0.826,0.1275,0.8044,52065033.333333336
7,BAC,2023-10-08,0.0715,0.8555,0.073,-0.1666,46009366.66666666
8,BAC,2023-10-09,0.0245,0.84,0.135,0.9978,39953700.0
9,BAC,2023-10-10,0.0265,0.8715,0.101,0.9943,51960100.0
10,BAC,2023-10-11,0.023,0.8735,0.103,0.9921,38508200.0
11,BAC,2023-10-12,0.042,0.8205,0.138,0.9952,44249800.0
12,BAC,2023-10-13,0.043,0.8715,0.086,0.9206,55089700.0
13,BAC,2023-10-14,0.0445,0.889,0.0665,0.9137,55665633.333333336
14,BAC,2023-10-15,0.041,0.833,0.126,0.991,56241566.66666666
15,BAC,2023-10-16,0.023,0.8825,0.0955,0.9866,56817500.0
16,BAC,2023-10-17,0.023,0.8825,0.0955,0.9866,95344200.0
17,BAC,2023-10-18,0.0385,0.8455,0.1155,0.9911,68371100.0
18,BAC,2023-10-19,0.0345,0.876,0.0895,0.1804,58611000.0
19,BAC,2023-10-20,0.0315,0.8695,0.099,0.977,62029800.0
20,BAC,2023-10-21,0.0315,0.885,0.0835,0.9777,61305600.0
21,BAC,2023-10-22,0.029,0.8785,0.093,0.6241,60581400.0
22,BAC,2023-10-23,0.0275,0.8515,0.1215,0.9979,59857200.0
23,BAC,2023-10-24,0.0515,0.827,0.122,0.9858,55975700.0
24,BAC,2023-10-25,0.0515,0.8555,0.093,0.9647,45522400.0
25,BAC,2023-10-26,0.054,0.8985,0.048,0.0154,60921000.0
26,MA,2023-10-01,0.081,0.755,0.164,0.9873,26481750.0
27,MA,2023-10-02,0.004,0.85,0.145,0.9988,2856800.0
28,MA,2023-10-03,0.0075,0.864,0.128,0.9967,2527900.0
29,MA,2023-10-04,0.011,0.878,0.111,0.9945,1813400.0
30,MA,2023-10-05,0.009,0.834,0.157,0.9962,2116600.0
31,MA,2023-10-06,0.009,0.834,0.157,0.9962,2484000.0
32,MA,2023-10-07,0.0,0.934,0.066,0.9804,2479550.0
33,MA,2023-10-09,0.066,0.849,0.085,-0.014,2475100.0
34,MA,2023-10-10,0.066,0.849,0.085,-0.014,2713800.0
35,MA,2023-10-11,0.005,0.893,0.102,0.9744,2055600.0
36,MA,2023-10-12,0.02,0.8705,0.1095,0.984,1779000.0
37,MA,2023-10-13,0.04,0.8475,0.1125,0.9869,2235600.0
38,MA,2023-10-15,0.0,0.903,0.097,0.9972,2218850.0
39,MA,2023-10-16,0.038,0.887,0.0745,0.3975,2202100.0
40,MA,2023-10-17,0.055,0.8865,0.058,0.3241,2176000.0
41,MA,2023-10-18,0.039,0.8395,0.1215,0.9934,1951400.0
42,MA,2023-10-19,0.018,0.878,0.104,0.9917,3472800.0
43,MA,2023-10-20,0.023,0.825,0.152,0.9966,2652500.0
44,MA,2023-10-22,0.02,0.928,0.053,0.6077,2212150.0
45,MA,2023-10-23,0.02,0.928,0.053,0.6077,1771800.0
46,MA,2023-10-25,0.017,0.8895,0.093,0.9804,3504500.0
47,MA,2023-10-26,0.017,0.8895,0.093,0.9804,6920100.0
48,MA,2023-10-27,0.024,0.813,0.164,0.9999,3624900.0
49,DIS,2023-10-01,0.037,0.851,0.1115,0.9919,6053450.0
50,DIS,2023-10-02,0.0065,0.93,0.0635,0.6547,9128100.0
51,DIS,2023-10-03,0.015,0.9505,0.0345,0.2957,12586200.0
52,DIS,2023-10-04,0.021,0.843,0.136,0.9995,12010500.0
53,DIS,2023-10-05,0.0255,0.846,0.1285,0.995,15466600.0
54,DIS,2023-10-06,0.0615,0.87,0.068,0.2686,15375100.0
55,DIS,2023-10-08,0.0475,0.83,0.122,0.9671,14489750.0
56,DIS,2023-10-09,0.0475,0.83,0.122,0.9671,13604400.0
57,DIS,2023-10-10,0.0275,0.8635,0.109,0.9925,9450600.0
58,DIS,2023-10-11,0.0595,0.8615,0.079,0.6067,9499200.0
59,DIS,2023-10-12,0.0595,0.8615,0.079,0.6067,9554900.0
60,DIS,2023-10-13,0.064,0.8605,0.0745,0.2014,10808000.0
61,DIS,2023-10-14,0.025,0.89,0.086,0.9847,10630366.666666666
62,DIS,2023-10-15,0.0045,0.443,0.053,0.4968,10452733.333333334
63,DIS,2023-10-16,0.029,0.864,0.1075,0.9939,10275100.0
64,DIS,2023-10-17,0.0495,0.862,0.088,0.8096,9985700.0
65,DIS,2023-10-18,0.043,0.8655,0.091,0.9505,10047000.0
