,,neg,neu,pos,compound
VISA Inc,2023-10-01,0.022,0.826,0.1515,0.9908
VISA Inc,2023-10-02,0.081,0.755,0.164,0.9873
VISA Inc,2023-10-03,0.057,0.784,0.159,0.9975
VISA Inc,2023-10-04,0.026,0.841,0.134,0.9996
VISA Inc,2023-10-05,0.048,0.848,0.104,0.9952
VISA Inc,2023-10-06,0.048,0.848,0.104,0.9952
VISA Inc,2023-10-07,0.048,0.839,0.113,0.8205
VISA Inc,2023-10-08,0.0105,0.837,0.1525,0.9952
VISA Inc,2023-10-09,0.0045,0.9195,0.076,0.958
VISA Inc,2023-10-10,0.006,0.9065,0.0875,0.9607
VISA Inc,2023-10-11,0.0445,0.8785,0.077,0.0131
VISA Inc,2023-10-12,0.0475,0.8815,0.071,0.0121
VISA Inc,2023-10-13,0.021,0.857,0.121,0.9999
VISA Inc,2023-10-14,0.021,0.857,0.121,0.9999
VISA Inc,2023-10-15,0.018,0.879,0.103,0.9909
VISA Inc,2023-10-16,0.018,0.879,0.103,0.9909
VISA Inc,2023-10-17,0.0385,0.8515,0.1095,0.9459
VISA Inc,2023-10-18,0.0385,0.8515,0.1095,0.9459
VISA Inc,2023-10-19,0.0615,0.793,0.1455,0.9981
VISA Inc,2023-10-20,0.043,0.823,0.134,0.9979
VISA Inc,2023-10-21,0.0465,0.853,0.1005,0.8684
VISA Inc,2023-10-22,0.016,0.839,0.1445,0.9961
VISA Inc,2023-10-23,0.0,0.894,0.106,0.885
VISA Inc,2023-10-24,0.0095,0.886,0.1045,0.8889
VISA Inc,2023-10-25,0.011,0.85,0.1395,0.9988
VISA Inc,2023-10-26,0.038,0.8495,0.1125,0.9828
VISA Inc,2023-10-27,0.05,0.808,0.142,0.9989
VISA Inc,2023-10-28,0.023,0.824,0.153,0.9999
VISA Inc,2023-10-29,0.0625,0.8215,0.116,0.0665
VISA Inc,2023-10-30,0.0625,0.8215,0.116,0.0665
VISA Inc,2023-10-31,0.005,0.884,0.111,0.9921
UnitedHealth Group Inc,2023-10-01,0.0295,0.8075,0.1635,0.9995
UnitedHealth Group Inc,2023-10-02,0.01,0.834,0.156,0.998
UnitedHealth Group Inc,2023-10-03,0.01,0.834,0.156,0.998
